Student_Ref,Gender,Math,Phys,Eng,ICT,EmSAT_Eng,Target_Uni,Pathway,STEM_Strength,Academic_Readiness
ID_7681,M,77.5,62.2,63.9,81.8,1470.0,ADU,Year 13,69.85,66.875
ID_1494,F,85.2,55.6,80.4,72.4,1284.0,CUD,Year 13,70.4,75.4
ID_7014,F,73.6,26.7,83.2,59.7,1293.0,Zayed Uni,Foundation,50.15,66.675
ID_3938,M,58.9,94.3,72.7,78.8,1044.0,UOWD,Foundation,76.6,74.65
ID_5558,F,61.8,67.2,69.0,89.4,1473.0,AUS,Year 13,64.5,66.75
ID_3710,M,60.5,64.7,64.4,87.9,1095.0,Murdoch,Foundation,62.6,63.5
ID_7524,F,73.1,25.8,77.2,88.6,1148.0,RIT Dubai,Foundation,49.449999999999996,63.325
ID_7858,F,46.3,55.8,85.6,82.1,959.0,Birmingham Uni,Foundation,51.05,68.32499999999999
ID_8227,F,74.9,57.3,80.8,88.7,1624.0,RIT Dubai,Foundation,66.1,73.44999999999999
ID_2147,M,81.3,48.2,71.9,82.0,1644.0,Amity,Foundation,64.75,68.325
ID_8658,M,62.8,61.3,86.8,67.2,1609.0,UOWD,Foundation,62.05,74.425
ID_4333,M,74.4,72.2,68.5,82.3,1785.0,KU,Foundation,73.30000000000001,70.9
ID_8319,M,69.5,96.3,71.0,77.3,1045.0,CUD,Foundation,82.9,76.95
ID_5324,F,85.6,60.6,78.6,95.7,1270.0,UOWD,Foundation,73.1,75.85
ID_6580,M,57.9,55.0,80.0,91.9,1464.0,RIT Dubai,Year 13,56.45,68.225
ID_8933,F,74.7,66.9,84.7,69.6,1318.0,Zayed Uni,Year 13,70.80000000000001,77.75
ID_9304,M,64.1,35.7,48.4,82.1,1301.0,CUD,Foundation,49.9,49.15
ID_6480,M,65.7,61.8,79.0,100.6,1444.0,Murdoch,Year 13,63.75,71.375
ID_3970,F,73.9,63.5,74.8,57.9,1132.0,BUiD,Year 13,68.7,71.75
ID_4720,F,70.4,66.2,99.6,75.7,1475.0,AUD,Year 13,68.30000000000001,83.95
ID_3883,M,69.5,41.6,82.7,64.2,1206.0,BUiD,Foundation,55.55,69.125
ID_3539,F,81.6,93.1,61.0,85.0,1948.0,RIT Dubai,Year 13,87.35,74.175
ID_6663,F,70.4,53.7,92.1,88.5,1402.0,ADU,Foundation,62.050000000000004,77.075
ID_1613,M,64.5,43.8,79.7,67.0,1787.0,UOWD,Foundation,54.15,66.925
